municipality,nom_ent,nom_mun,margination,T_mortalidad,T_mortalidad_Rural,T_mortalidad_Urbano,pct_single,avg_children_born,pct_fem_primary_degree,insurance_none,avg_prenatal_consults
7088,Chiapas,Sunuapa,-0.115290112,0,0,0,38.6,2.9,18.3,15,5.930350107
7089,Chiapas,Tapachula,-0.763742787,0.498753117,0.151964136,5.720823799,35.1,2.2,19.9,2534,6.172148817
7090,Chiapas,Tapalapa,0.039888304,0,0,0,35.9,3,10.8,33,5.663979906
7091,Chiapas,Tapilula,-0.404301019,1.256281407,1.483679525,0,35,2.7,21.9,82,5.209457196
7092,Chiapas,Tecpatán,-0.27313645,2.173913043,0,10.06711409,35.6,2.8,16.1,179,5.929257936
7093,Chiapas,Tenejapa,0.296802754,9.324009324,90.90909091,7.177033493,38.2,2.9,3.9,94,4.854540169
7094,Chiapas,Teopisca,0.1972804,4.162330905,0,28.36879433,36,2.7,8.3,135,5.970951639
7096,Chiapas,Tila,0.258024619,1.986942946,1.114206128,2.893518519,38.5,2.8,20.2,1108,5.219001668
7097,Chiapas,Tonalá,-0.609254753,0.207296849,0,0.582072177,31.8,2.6,21.3,221,6.05010224
7098,Chiapas,Totolapa,0.141117412,0,0,0,33.6,2.7,8.5,95,6.037347458
7099,Chiapas,La Trinitaria,-0.353061415,0.914076782,0.230893558,3.511852502,31.9,2.6,10.1,513,6.122435935
7100,Chiapas,Tumbalá,0.54612247,0.637755102,0,1.168224299,41.6,2.7,15.3,456,5.505179963
7101,Chiapas,Tuxtla Gutiérrez,-1.209481377,0.43099965,0.433698363,0,36.1,1.9,19.3,4604,6.579989797
7102,Chiapas,Tuxtla Chico,-0.44766235,0.722543353,0,5.434782609,34.8,2.4,19.4,243,6.535818859
7103,Chiapas,Tuzantán,-0.293228152,0,0,0,35.6,2.8,17.4,110,6.101310104
7104,Chiapas,Tzimol,-0.368770455,1.004016064,0,4.444444444,31.3,2.5,8.7,168,6.567936295
7105,Chiapas,Unión Juárez,-0.52073446,0,0,0,37.2,2.7,22.5,64,6.694124355
7106,Chiapas,Venustiano Carranza,-0.153149088,0.805801773,1.350742909,0,31.4,2.7,11.7,2175,6.14138353
7107,Chiapas,Villa Corzo,-0.295622726,0.678272666,0.290023202,2.051282051,32.8,2.6,15.7,908,6.04792923
7108,Chiapas,Villaflores,-0.553381215,0.584624379,0.563486101,0.658761528,32.2,2.5,17,1285,6.269123011
7109,Chiapas,Yajalón,0.361192101,0,0,0,38.1,2.4,18.7,846,5.177411227
7110,Chiapas,San Lucas,0.182812251,0,0,0,33,2.8,9.2,53,5.459401625
7111,Chiapas,Zinacantán,0.623254082,3.344481605,0,16.39344262,39.9,2.7,1.8,92,4.673300229
7112,Chiapas,San Juan Cancuc,0.873297839,11.56069364,10,13.69863014,40.1,3.1,1.8,50,4.139534398
7113,Chiapas,Aldama,0.643118415,30.3030303,0,30.3030303,38.5,3,-6,10,4.288068182
7114,Chiapas,Benemérito de las Américas,-0.079800341,2.523659306,2.239641657,2.89017341,36.9,3.1,15.4,1191,5.096505824
